id,picture,artist,hottest,streams_b,followers_mio,listeners_mio,scoring
121,,Fleetwood Mac,80,8.53,10.39,33.27,28
122,,Bebe Rexha,79,8.46,8.48,43.81,28
123,,Sech,79,10.39,11.89,20.98,28
124,,Martin Garrix,74,10.30,15.88,22.58,28
125,,Luis Miguel,82,9.55,13.55,17.08,28
126,,YoungBoy Never Broke Again,81,10.08,11.75,17.38,28
127,,Becky G,77,7.79,13.84,32.54,27
128,,2Pac,78,8.04,16.14,23.14,27
129,,Junior H,87,6.97,10.03,26.76,27
130,,Panic! At The Disco,75,10.22,12.00,22.70,27
131,,Gunna,84,8.15,5.86,37.09,27
132,,Black Eyed Peas,78,8.80,7.70,39.64,27
133,,Pink Floyd,77,8.42,19.60,18.87,27
134,,Luke Combs,83,8.80,9.22,23.60,27
135,,Lil Peep,81,11.02,10.65,14.83,27
136,,Kodak Black,80,8.50,9.71,28.22,27
137,,A.R. Rahman,78,4.15,38.26,31.85,26
138,,The Rolling Stones,77,8.03,13.29,26.14,26
139,,Trippie Redd,80,9.27,9.01,22.67,26
140,,Don Omar,81,7.20,10.12,33.05,26
141,,Camilo,77,7.18,18.11,21.46,25
142,,Polo G,80,8.12,10.07,24.31,25
143,,Bob Marley & The Wailers,78,8.74,11.85,19.49,25
144,,Duki,83,7.51,9.42,24.18,25
145,,Snoop Dogg,81,6.52,10.17,30.22,25
146,,Joji,79,8.65,8.90,23.18,25
147,,ABBA,78,6.79,10.91,27.63,24
148,,Flo Rida,77,7.78,8.95,27.70,24
149,,Arcangel,81,6.34,12.00,23.70,24
150,,Meghan Trainor,76,7.07,13.88,26.08,24
151,,Migos,75,8.62,13.47,18.47,24
152,,DJ Khaled,75,8.39,10.40,25.57,24
153,,ROSALÍA,81,6.52,7.86,34.76,24
154,,A Boogie Wit da Hoodie,79,9.39,7.70,19.52,24
155,,Gorillaz,77,8.02,10.84,23.30,24
156,,Childish Gambino,77,7.70,11.39,22.71,24
157,,Christian Nodal,79,6.92,13.85,19.76,24
158,,Banda MS de Sergio Lizárraga,77,7.73,17.72,15.73,24
159,,Melanie Martinez,79,7.13,18.29,14.53,24
160,,Usher,78,7.11,10.75,28.54,24
161,,Tyga,78,9.39,6.91,24.58,24
162,,Henrique & Juliano,80,7.30,20.05,12.41,24
163,,NF,79,9.58,8.95,16.48,24
164,,$uicideboy$,84,10.75,6.00,11.16,23
165,,Ava Max,78,7.86,6.00,32.51,23
166,,Hozier,81,7.54,5.93,28.19,23
167,,Jhayco,83,6.19,6.66,33.81,23
168,,Madonna,79,6.12,7.21,40.03,23
169,,Anitta,76,7.43,13.10,20.35,23
170,,5 Seconds of Summer,76,8.91,9.65,19.86,23
171,,Gusttavo Lima,80,6.60,20.56,12.63,23
172,,Radiohead,79,7.21,8.68,24.08,23
173,,Bon Jovi,76,6.31,12.67,26.73,23
174,,Enrique Iglesias,75,7.87,11.33,23.98,23
175,,Paulo Londra,74,6.69,22.46,13.87,22
176,,Kid Cudi,78,7.96,6.67,24.10,22
177,,Jorge & Mateus,78,6.77,19.38,11.13,22
178,,Little Mix,73,8.96,11.66,17.35,22
179,,Foo Fighters,77,7.07,11.29,20.69,22
180,,Major Lazer,73,9.51,6.38,25.06,22
181,,The Kid LAROI,78,8.47,4.72,31.45,22
182,,Mariah Carey,76,7.41,9.31,25.14,22
183,,Zara Larsson,74,7.44,10.39,23.23,22
184,,Natanael Cano,85,5.76,8.46,20.34,22
185,,Anirudh Ravichander,84,3.58,21.70,24.87,22
186,,TWICE,78,7.05,18.84,9.98,21
187,,Alok,77,5.42,12.24,23.74,21
188,,Led Zeppelin,75,6.62,13.73,18.36,21
189,,Tame Impala,78,6.86,6.89,24.55,21
190,,Luis Fonsi,72,7.19,11.25,22.06,21
191,,U2,75,6.64,11.52,20.12,21
192,,Daft Punk,79,6.66,9.64,19.90,21
193,,System Of A Down,77,6.84,9.60,17.47,20
194,,Troye Sivan,76,5.96,7.87,27.41,20
195,,Grupo Firme,80,5.21,10.88,19.00,20
196,,Diplo,77,9.85,2.58,33.50,20
197,,Skrillex,76,6.52,8.25,21.75,20
198,,Zé Neto & Cristiano,78,5.57,18.92,11.68,20
199,,Paramore,77,6.52,8.05,21.36,20
200,,Lauv,75,8.98,5.94,20.12,20
201,,Alicia Keys,76,5.52,11.05,24.42,20
202,,Lil Durk,82,5.82,6.16,27.44,20
203,,Lorde,74,6.98,9.99,21.30,20
204,,Reik,76,7.14,8.53,19.75,20
205,,Elvis Presley,76,6.97,8.70,17.91,20
206,,Tory Lanez,79,6.65,5.96,24.33,20
207,,Dr. Dre,78,5.24,10.43,22.69,20
208,,Morat,80,6.81,9.65,14.68,20
209,,Creedence Clearwater Revival,78,6.06,6.07,29.03,20
210,,David Bowie,75,7.06,9.81,16.81,20
211,,The Notorious B.I.G.,76,6.48,9.25,21.22,20
212,,Sean Paul,79,6.35,4.49,34.30,20
213,,John Mayer,75,9.34,5.95,15.60,19
214,,Carin Leon,84,4.17,7.80,25.78,19
215,,Kali Uchis,83,4.56,5.23,35.96,19
216,,Aerosmith,74,5.20,13.81,23.40,19
217,,Quevedo,85,5.45,2.81,37.59,19
218,,The Killers,75,6.83,7.12,22.31,19
219,,Conan Gray,77,5.37,8.34,23.64,19
220,,Roddy Ricch,76,5.57,9.78,20.36,19
221,,Megan Thee Stallion,76,6.33,7.93,23.53,19
222,,Robin Schulz,76,8.67,3.10,27.07,19
223,,G-Eazy,73,9.65,5.20,17.25,19
224,,blink-182,76,6.76,7.78,17.87,19
225,,Big Sean,75,6.22,11.12,18.83,19
226,,Oasis,75,5.93,9.16,20.12,18
227,,Lil Tjay,79,5.84,7.11,16.82,18
228,,Jonas Brothers,77,5.51,7.20,24.48,18
229,,Ty Dolla $ign,78,5.81,4.73,26.51,18
230,,Jennifer Lopez,73,4.98,12.43,22.77,18
231,,Måneskin,78,5.38,7.83,22.67,18
232,,Slipknot,76,6.46,10.09,11.91,18
233,,Ne-Yo,77,5.30,8.29,22.73,18
234,,Zedd,73,8.39,6.00,16.58,18
235,,Clean Bandit,72,7.82,5.28,21.42,18
