id,track_name,artist,duration_ms,popularity,release_date,year
95,Wherever You Will Go,The Calling,208600,78,2001-01-01,2001
96,Rock The Boat,Aaliyah,274733,71,2001-07-07,2001
97,QKThr,Aphex Twin,87466,73,2001-10-22,2001
98,U Remind Me,USHER,266893,74,2001-08-07,2001
99,Over the Rainbow,Israel Kamakawiwo'ole,211933,74,2001-09-25,2001
100,Sonne,Rammstein,272440,71,2001-04-02,2001
101,Without Me,Eminem,290320,89,2002-05-26,2002
102,Till I Collapse,"Eminem, Nate Dogg",297786,86,2002-05-26,2002
103,Rock Your Body,Justin Timberlake,267266,81,2002-11-04,2002
104,Can't Stop,Red Hot Chili Peppers,269000,84,2002-07-09,2002
105,Superman,"Eminem, Dina Rae",350320,87,2002-05-26,2002
106,Hot In Herre,Nelly,228240,79,2002-06-25,2002
107,Get Low,"Lil Jon & The East Side Boyz, Ying Yang Twins",334066,77,2002-10-29,2002
108,Headstrong,Trapt,285569,75,2002-11-05,2002
109,This Love,Maroon 5,206200,83,2002-01-01,2002
110,The Scientist,Coldplay,309600,86,2002-08-08,2002
111,Foolish,Ashanti,227386,76,2002-01-01,2002
112,The Red,Chevelle,238400,73,2002-01-01,2002
113,Complicated,Avril Lavigne,244506,81,2002-06-04,2002
114,The Anthem,Good Charlotte,175093,76,2002-10-04,2002
115,Sk8er Boi,Avril Lavigne,204000,78,2002-06-04,2002
116,Dilemma,"Nelly, Kelly Rowland",289160,80,2002-06-25,2002
117,Like a Stone,Audioslave,293960,80,2002-11-17,2002
118,Clocks,Coldplay,307879,84,2002-08-08,2002
119,"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,195533,71,2002-01-01,2002
120,She Will Be Loved - Radio Mix,Maroon 5,259453,82,2002-01-01,2002
121,Superstition - Single Version,Stevie Wonder,245493,77,2002-10-29,2002
122,About A Girl,Nirvana,166640,78,2002-10-29,2002
123,Here Without You,3 Doors Down,238733,78,2002-11-12,2002
124,A Thousand Miles,Vanessa Carlton,237493,79,2002-04-30,2002
125,Sunday Morning,Maroon 5,244880,77,2002-01-01,2002
126,Drift Away,Uncle Kracker,255560,71,2002-07-09,2002
127,Obsesion,"Aventura, Judy Santos",254720,78,2002-06-01,2002
128,No One Knows,Queens of the Stone Age,278706,70,2002-01-01,2002
129,When I'm Gone,3 Doors Down,260333,72,2002-11-12,2002
130,Are You That Somebody,Aaliyah,265666,71,2002-12-10,2002
131,Don't Know Why,Norah Jones,186251,78,2002-02-26,2002
132,Beer For My Horses,"Toby Keith, Willie Nelson",204000,70,2002-01-01,2002
133,Cry Me a River,Justin Timberlake,288333,77,2002-11-04,2002
134,Hurt,Johnny Cash,216533,75,2002-01-01,2002
135,Still Waiting,Sum 41,158733,68,2002-01-01,2002
136,All My Life,Foo Fighters,263440,76,2002-10-22,2002
137,Sing For The Moment,Eminem,339546,79,2002-05-26,2002
138,Somebody Like You,Keith Urban,323040,71,2002-01-01,2002
139,Fine Again,Seether,243640,69,2002-01-01,2002
140,"Swing, Swing",The All-American Rejects,233266,69,2002-10-15,2002
141,Still Fly,Big Tymers,335613,67,2002-01-01,2002
142,Send the Pain Below,Chevelle,252360,67,2002-01-01,2002
143,By the Way,Red Hot Chili Peppers,216933,78,2002-07-09,2002
144,Landslide,The Chicks,230549,70,2002-08-27,2002
145,Guatauba,Plan B,162400,78,2002-05-10,2002
146,Cleanin' Out My Closet,Eminem,297840,75,2002-05-26,2002
147,All The Things She Said,t.A.T.u.,214440,78,2002-01-01,2002
148,Cute Without The 'E' (Cut From The Team) - Remastered,Taking Back Sunday,212937,68,2002-03-26,2002
149,Show Me How to Live,Audioslave,277840,72,2002-11-17,2002
150,Ven Porque Te Necesito,Los Temerarios,175013,75,2002-01-01,2002
151,Seven Nation Army,The White Stripes,232106,86,2003-04-01,2003
152,Hey Ya!,Outkast,235213,84,2003-01-01,2003
153,In Da Club,50 Cent,193466,77,2003-02-06,2003
154,Numb,Linkin Park,185586,87,2003-03-24,2003
155,Bring Me To Life,Evanescence,235893,85,2003-03-04,2003
156,Crazy In Love (feat. Jay-Z),"Beyoncé, JAY-Z",236133,81,2003-06-24,2003
157,Toxic,Britney Spears,198800,84,2003-11-13,2003
158,Dile,Don Omar,204600,84,2003-01-01,2003
