Artist,TrackNames
Billie Eilish,"[""when the party's over"", 'everything i wanted', 'Happier Than Ever', 'TV']"
"Billie Eilish, Khalid",['lovely (with Khalid)']
Billy Currington,"['Good Directions', 'People Are Crazy']"
Black Eyed Peas,"['Where Is The Love?', 'Pump It', 'I Gotta Feeling', 'Meet Me Halfway', 'Just Can’t Get Enough']"
Blake Shelton,"[""Ol' Red""]"
Blondie,['Call Me']
Bon Iver,"['Skinny Love', 'Beach Baby']"
"Bon Iver, St. Vincent",['Rosyln']
Bon Jovi,"[""It's My Life""]"
Bowling For Soup,['1985']
Breaking Benjamin,"['The Diary of Jane - Single Version', 'I Will Not Bow']"
Brent Faiyaz,"['Poison', 'Trust', 'Clouded', 'Been Away', 'Rehab (Winter In Paris)', 'ALL MINE', 'JACKIE BROWN']"
Bring Me The Horizon,['Can You Feel My Heart']
Britney Spears,"['Oops!...I Did It Again', 'Toxic', 'Gimme More', 'Womanizer', 'Circus']"
Brooks & Dunn,"['Red Dirt Road', 'Neon Moon', ""Boot Scootin' Boogie"", 'My Maria']"
Bruno Mars,"['Just the Way You Are', 'Grenade', 'Talking to the Moon', 'Marry You', 'Runaway Baby', 'The Lazy Song', 'It Will Rain', 'Locked out of Heaven', 'When I Was Your Man', 'Treasure', ""That's What I Like""]"
Bryson Tiller,"[""Don't"", 'Exchange', 'Right My Wrongs', ""Let Em' Know""]"
BØRNS,['Electric Love']
Cage The Elephant,"[""Ain't No Rest for the Wicked"", 'Cigarette Daydreams', 'Come a Little Closer']"
Calvin Harris,"['Feel So Close - Radio Edit', 'Summer']"
"Calvin Harris, Rihanna",['This Is What You Came For']
Capital Cities,['Safe And Sound']
"Carin Leon, Grupo Frontera",['Que Vuelvas']
Carly Rae Jepsen,['Call Me Maybe']
Carrie Underwood,['Before He Cheats']
Cassie,['Me & U']
Chase Atlantic,['Friends']
Chayce Beckham,['23']
Cherub,['Doses & Mimosas']
Chevelle,"['The Red', 'Send the Pain Below']"
Chief Keef,['Love Sosa']
Childish Gambino,"['Les', 'Heartbeat', 'Bonfire', '3005', 'Redbone', 'Me and Your Mama']"
Chingy,['Right Thurr']
Chris Brown,"['Yo (Excuse Me Miss)', 'Forever', 'Under The Influence']"
"Chris Brown, Juelz Santana",['Run It! (feat. Juelz Santana)']
Chris Stapleton,"['Tennessee Whiskey', 'Parachute', 'Broken Halos', 'You Should Probably Leave', 'Starting Over']"
Christina Perri,['A Thousand Years']
"Ciara, Missy Elliott","['One, Two Step (feat. Missy Elliott)']"
Cigarettes After Sex,"['Apocalypse', 'Sunsetz', 'K.', 'Cry']"
"Cochise, $NOT",['Tell Em']
Cody Johnson,"['Me and My Kind', ""'Til You Can't""]"
Colbie Caillat,['Bubbly']
Coldplay,"['Sparks', 'Yellow', 'The Scientist', 'Clocks', 'Fix You', 'Viva La Vida', 'Paradise', 'A Sky Full of Stars']"
Cole Swindell,['She Had Me At Heads Carolina']
Conan Gray,['Heather']
Corinne Bailey Rae,['Put Your Records On']
Creed,['One Last Breath']
Crossfade,['Cold']
Cults,['Always Forever']
D12,['My Band']
D4L,['Laffy Taffy']
"DJ Khaled, Lil Baby, Lil Durk",['EVERY CHANCE I GET (feat. Lil Baby & Lil Durk)']
Daddy Yankee,"['Gasolina', 'Lo Que Pasó, Pasó']"
Daft Punk,['One More Time']
Daniel Caesar,['Japanese Denim']
"Daniel Caesar, Kali Uchis",['Get You (feat. Kali Uchis)']
Darius Rucker,"['Alright', 'Wagon Wheel']"
"David Guetta, Akon",['Sexy Bitch (feat. Akon)']
"David Guetta, Bebe Rexha","[""I'm Good (Blue)""]"
"David Guetta, Kid Cudi",['Memories (feat. Kid Cudi)']
"David Guetta, Sia",['Titanium (feat. Sia)']
Deftones,"['Change (In the House of Flies)', 'Digital Bath', 'Cherry Waves', 'Sextape']"
Dierks Bentley,"[""What Was I Thinkin'""]"
"Diplo, Morgan Wallen",['Heartless (feat. Morgan Wallen)']
"Disclosure, Sam Smith",['Latch']
Disturbed,['Down with the Sickness']
Doja Cat,"['Streets', 'Woman']"
"Doja Cat, SZA",['Kiss Me More (feat. SZA)']
Dominic Fike,['Babydoll']
Don Omar,"['Dile', 'Salió El Sol']"
"Don Omar, Lucenzo",['Danza Kuduro']
Dr. Dog,"[""Where'd All the Time Go?""]"
Drake,"['Best I Ever Had', 'Over', 'Headlines', 'Marvins Room', 'Cameras / Good Ones Go Interlude - Medley', ""Look What You've Done"", 'Shot For Me', 'Jungle', 'Feel No Ways', 'Passionfruit', 'Teenage Fever', ""God's Plan"", 'Nice For What', 'Trust Issues']"
"Drake, 21 Savage","['Jimmy Cooks (feat. 21 Savage)', 'Rich Flex', 'Spin Bout U']"
"Drake, 21 Savage, Project Pat",['Knife Talk (with 21 Savage ft. Project Pat)']
"Drake, Giveon",['Chicago Freestyle (feat. Giveon)']
"Drake, Jhené Aiko",['From Time']
"Drake, Kanye West, Lil Wayne, Eminem",['Forever']
"Drake, Lil Baby",['Wants and Needs (feat. Lil Baby)']
"Drake, Lil Durk",['Laugh Now Cry Later (feat. Lil Durk)']
"Drake, Lil Wayne","['The Motto', 'HYFR (Hell Ya Fucking Right)']"
"Drake, Lykke Li",['Little Bit (feat. Lykke Li)']
"Drake, Majid Jordan","[""Hold On, We're Going Home""]"
"Drake, Playboi Carti",['Pain 1993 (with Playboi Carti)']
"Drake, Rihanna",['Take Care']
"Drake, T.I., Swizz Beatz",['Fancy']
"Drake, Travis Scott",['Fair Trade (with Travis Scott)']
"Drake, Wizkid, Kyla",['One Dance']
"Dream Supplier, Baby Sleeps, Granular Noise",['Clean Baby Sleep White Noise (Loopable)']
Drowning Pool,['Bodies']
"Dua Lipa, DaBaby",['Levitating (feat. DaBaby)']
Duster,['Me and the Birds']
Ed Sheeran,['Shivers']
Edward Sharpe & The Magnetic Zeros,['Home - 2019 - Remaster']
Eli Young Band,['Crazy Girl']
Eminem,"['The Real Slim Shady', 'The Way I Am', 'Kill You', 'Without Me', 'Sing For The Moment', ""Cleanin' Out My Closet"", 'Mockingbird', 'Lose Yourself']"
"Eminem, Dido",['Stan']
"Eminem, Dina Rae",['Superman']
"Eminem, Dr. Dre, Snoop Dogg, Xzibit, Nate Dogg",['Bitch Please II']
"Eminem, Juice WRLD",['Godzilla (feat. Juice WRLD)']
"Eminem, Nate Dogg",['Till I Collapse']
"Eminem, Rihanna",['Love The Way You Lie']
Empire of the Sun,['Walking On A Dream']
Eric Church,"['Springsteen', 'Drink In My Hand']"
Erykah Badu,"[""Didn't Cha Know""]"
"Eslabon Armado, DannyLux",['Jugaste y Sufrí']
"Estelle, Kanye West",['American Boy']
Evanescence,"['Bring Me To Life', 'Going Under', 'My Immortal']"
"Eve, Gwen Stefani, Stevie J",['Let Me Blow Ya Mind']
Eyedress,"['Jealous', 'Romantic Lover']"
Fall Out Boy,"[""Sugar, We're Goin Down"", 'Dance, Dance', 'Thnks fr th Mmrs', 'Centuries']"
Falling In Reverse,['The Drug In Me Is You']
Fantasia,['When I See U']
"Far East Movement, The Cataracs, DEV",['Like A G6']
"Fat Joe, Ja Rule, Ashanti","[""What's Luv? (feat. Ja-Rule & Ashanti)""]"
Faye Webster,"['I Know You', 'Kingston']"
"Fergie, Ludacris",['Glamorous']
"Fergie, will.i.am",['Fergalicious']
Fetty Wap,['Trap Queen']
Finger Eleven,['Paralyzer']
Fitz and The Tantrums,['Out of My League']
Flo Rida,['Right Round']
"Flo Rida, T-Pain",['Low (feat. T-Pain)']
Florence + The Machine,['Dog Days Are Over']
Florida Georgia Line,['Cruise']
"Florida Georgia Line, Luke Bryan",['This Is How We Roll']
Flyleaf,"['All Around Me', ""I'm So Sick""]"
Foo Fighters,"['All My Life', 'Best of You', 'The Pretender']"
Foster The People,['Pumped Up Kicks']
Fountains Of Wayne,"[""Stacy's Mom""]"
Frank Ocean,"['Novacane', 'Lost', 'Thinkin Bout You', 'Pyramids', 'Pink + White', 'Ivy', 'Nights', 'White Ferrari']"
"Frank Ocean, Earl Sweatshirt",['Super Rich Kids']
Franz Ferdinand,['Take Me Out']
"Fuerza Regida, Peso Pluma",['Igualito a Mi Apá']
Future,"['Solo', 'PUFFIN ON ZOOTIEZ']"
"Future, Drake, Tems",['WAIT FOR U (feat. Drake & Tems)']
"G-Eazy, Christoph Andersson",['Tumblr Girls (feat. Christoph Andersson)']
GROUPLOVE,['Tongue Tied']
George Ezra,['Budapest']
Glass Animals,['Heat Waves']
Gnarls Barkley,['Crazy']
Godsmack,"['Awake', 'I Stand Alone']"
"GoldLink, Brent Faiyaz, Shy Glizzy",['Crew (feat. Brent Faiyaz & Shy Glizzy)']
Good Charlotte,['The Anthem']
Gorillaz,"['Clint Eastwood', 'Feel Good Inc.', 'DARE']"
"Gotye, Kimbra",['Somebody That I Used To Know']
Green Day,"['American Idiot', 'Wake Me up When September Ends']"
Gregory Alan Isakov,['Big Black Car']
"Gunna, Drake",['P power (feat. Drake)']
Gwen Stefani,['Hollaback Girl']
"Gwen Stefani, Akon",['The Sweet Escape']
Gym Class Heroes,"[""Cupid's Chokehold / Breakfast in America""]"
"Gym Class Heroes, Adam Levine",['Stereo Hearts (feat. Adam Levine)']
Harry Styles,"['Watermelon Sugar', 'Adore You', 'As It Was', 'Late Night Talking']"
Hinder,['Lips Of An Angel']
Hoobastank,['The Reason']
Hotel Ugly,['Shut up My Moms Calling']
Hozier,"['Take Me to Church', 'Work Song', 'Like Real People Do']"
Huey Lewis & The News,['The Power Of Love']
INTERWORLD,['METAMORPHOSIS']
Idina Menzel,"['Let It Go - From ""Frozen""/Soundtrack Version']"
Imagine Dragons,"['Demons', 'Radioactive', 'Believer', 'Thunder']"
Incubus,['Wish You Were Here']
Insane Clown Posse,['In My Room']
Israel Kamakawiwo'ole,['Over the Rainbow']
Iyaz,['Replay']
"J Balvin, Bad Bunny",['LA CANCIÓN']
J. Cole,"['Work Out', 'No Role Modelz', 'Wet Dreamz', 'Love Yourz', 'MIDDLE CHILD']"
"J. Cole, 21 Savage, Morray",['m y . l i f e (with 21 Savage & Morray)']
"J. Cole, Cults, Amber Coffman",['She Knows (feat. Amber Coffman & Cults)']
"J. Cole, Miguel",['Power Trip (feat. Miguel)']
"JAY-Z, Alicia Keys",['Empire State Of Mind']
"JAY-Z, Kanye West",['Ni**as In Paris']
"JAY-Z, Linkin Park",['Numb / Encore']
"JAY-Z, Rihanna, Kanye West",['Run This Town']
"JUVENILE, Soulja Slim",['Slow Motion']
JVKE,['golden hour']
"Ja Rule, Ashanti",['Always On Time']
Jack Johnson,"['Better Together', 'Banana Pancakes', 'Upside Down']"
Jake Owen,['Barefoot Blue Jean Night']
James Arthur,"[""Say You Won't Let Go""]"
Jamey Johnson,['In Color']
Jason Aldean,"[""She's Country"", 'Big Green Tractor', 'Dirt Road Anthem']"
Jason Mraz,"[""I'm Yours""]"
"Jay Sean, Lil Wayne",['Down']
Jelly Roll,['Son Of A Sinner']
Jeremih,"['Birthday Sex', 'oui']"
Jet,['Are You Gonna Be My Girl']
"Jhené Aiko, Kendrick Lamar",['Stay Ready (What A Life)']
Jimmy Eat World,"['The Middle', 'Sweetness']"
Joan Sebastian,['Secreto De Amor']
Joe Nichols,['Tequila Makes Her Clothes Fall Off']
Joey Bada$$,['Love Is Only a Feeling']
John Legend,['All of Me']
John Mayer,"['Your Body Is a Wonderland', 'Waiting On the World to Change', 'Slow Dancing in a Burning Room']"
Johnny Cash,['Hurt']
Joji,['SLOW DANCING IN THE DARK']
Jon Pardi,"['Night Shift', 'Heartache On The Dance Floor', 'Head Over Boots', 'Dirt On My Boots']"
Jonas Brothers,"[""Burnin' Up""]"
"Jordan Davis, Luke Bryan",['Buy Dirt']
Josh Turner,"['Would You Go With Me', 'Your Man']"
Joy Again,['Looking Out for You']
Juice WRLD,"['All Girls Are The Same', 'Lucid Dreams', 'Lean Wit Me', 'Let Me Know (I Wonder Why Freestyle)', 'Robbery', 'Wishing Well']"
Justin Bieber,"['Love Yourself', 'Ghost']"
"Justin Bieber, Ludacris",['Baby']
"Justin Bieber, Nicki Minaj",['Beauty And A Beat']
Justin Timberlake,"['Rock Your Body', 'Cry Me a River', 'Mirrors', 'CAN\'T STOP THE FEELING! (from DreamWorks Animation\'s ""TROLLS"")']"
"Justin Timberlake, T.I.",['My Love (feat. T.I.)']
"Justin Timberlake, Timbaland",['SexyBack (feat. Timbaland)']
KALEO,['Way down We Go']
Kali Uchis,"['Melting', 'telepatía']"
"Kali Uchis, Tyler, The Creator, Bootsy Collins","['After The Storm (feat. Tyler, The Creator & Bootsy Collins)']"
Kanye West,"['Through The Wire', 'Jesus Walks', 'I Wonder', 'Stronger', ""Can't Tell Me Nothing"", 'Champion', 'Good Morning', 'Heartless', 'All Of The Lights', 'POWER', 'Bound 2', 'Father Stretch My Hands Pt. 1', 'Violent Crimes']"
"Kanye West, Chris Martin",['Homecoming']
"Kanye West, DJ Premier",['Everything I Am']
"Kanye West, Dwele",['Flashing Lights']
"Kanye West, Jamie Foxx",['Gold Digger']
"Kanye West, Lupe Fiasco",['Touch The Sky']
"Kanye West, Pusha T",['Runaway']
"Kanye West, Rick Ross",['Devil In A New Dress']
"Kanye West, Syleena Johnson",['All Falls Down']
"Kanye West, T-Pain",['Good Life']
Katy Perry,"['Hot N Cold', 'I Kissed A Girl', 'Last Friday Night (T.G.I.F.)', 'Teenage Dream', 'The One That Got Away']"
"Katy Perry, Snoop Dogg",['California Gurls']
Keane,['Somewhere Only We Know']
Keith Urban,['Somebody Like You']
Kelly Clarkson,['Since U Been Gone']
Ken Carson,['Yale']
Kendrick Lamar,"['A.D.H.D', 'Swimming Pools (Drank)', 'Bitch, Don’t Kill My Vibe', 'Alright', 'PRIDE.', 'HUMBLE.', 'DNA.']"
"Kendrick Lamar, Drake",['Poetic Justice']
"Kendrick Lamar, Jay Rock",['Money Trees']
"Kendrick Lamar, SZA",['All The Stars (with SZA)']
"Kendrick Lamar, Zacari",['LOVE. FEAT. ZACARI.']
Kenny Chesney,['American Kids']
"Kenny Chesney, Uncle Kracker",['When the Sun Goes Down']
Kesha,"['TiK ToK', 'Die Young']"
Keyshia Cole,['Love']
"Keyshia Cole, Missy Elliott, Lil' Kim",['Let It Go']
Khalid,['Young Dumb & Broke']
Kid Cudi,"[""Day 'N' Nite (nightmare)"", ""Day 'N' Nite (nightmare)"", 'Mr. Rager']"
"Kid Cudi, MGMT, Ratatat","['Pursuit Of Happiness (Nightmare)', 'Pursuit Of Happiness (Nightmare)']"
Kid Rock,['All Summer Long']
"Kid Rock, Sheryl Crow",['Picture (feat. Sheryl Crow)']
King Von,"['Crazy Story, Pt. 3', 'Took Her To The O']"
Kings of Leon,"['Sex on Fire', 'Use Somebody']"
Kodak Black,"[""No Flockin'""]"
Kodaline,['All I Want']
Korn,['Coming Undone']
Kylie Minogue,"[""Can't Get You out of My Head""]"
La Oreja de Van Gogh,['Rosas']
Lady Gaga,"['Poker Face', 'Paparazzi', 'LoveGame', 'Bad Romance', 'Bloody Mary']"
"Lady Gaga, Beyoncé",['Telephone']
"Lady Gaga, Colby O'Donis",['Just Dance']
Lana Del Rey,"['Summertime Sadness', 'Radio', 'Radio', 'Diet Mountain Dew', 'Young And Beautiful', 'West Coast', 'Brooklyn Baby', 'Cinnamon Girl']"
"Laufey, Philharmonia Orchestra",['Let You Break My Heart Again']
Lee Ann Womack,['I Hope You Dance']
Lee Brice,['One Of Them Girls']
Leona Lewis,['Bleeding Love']
Lewis Capaldi,['Someone You Loved']
Liana Flores,['rises the moon']
Lifehouse,"['Hanging By A Moment', 'You And Me']"
Lil Baby,"['Freestyle', 'Pure Cocaine', 'Low Down']"
"Lil Baby, Drake",['Yes Indeed']
"Lil Baby, Gunna",['Drip Too Hard (Lil Baby & Gunna)']
"Lil Jon & The East Side Boyz, Ying Yang Twins",['Get Low']
Lil Peep,['Star Shopping']
"Lil Peep, Lil Tracy",['white tee']
"Lil Peep, rainy bear",['nuts']
Lil Tecca,['Ransom']
Lil Uzi Vert,"['Money Longer', '20 Min', 'XO Tour Llif3', 'Just Wanna Rock']"
"Lil Uzi Vert, Oh Wonder",['The Way Life Goes (feat. Oh Wonder)']
Lil Wayne,['A Milli']
"Lil Wayne, Cory Gunz",['6 Foot 7 Foot']
"Lil Wayne, Drake, Future",['Love Me']
"Lil Wayne, Static Major",['Lollipop']
Limp Bizkit,"[""Rollin' (Air Raid Vehicle)"", 'My Way', 'Take A Look Around', 'Behind Blue Eyes']"
Linkin Park,"['In the End', 'One Step Closer', 'Crawling', 'Papercut', 'A Place for My Head', 'Numb', 'Faint', 'Somewhere I Belong', 'Lying from You', 'Breaking the Habit', 'Bleed It Out', ""What I've Done""]"
Little Big Town,['Boondocks']
Lizzy McAlpine,['ceilings']
"Lloyd, Lil Wayne",['You']
Lord Huron,['The Night We Met']
Lorde,"['Ribs', 'Royals', 'Team']"
Los Temerarios,['Ven Porque Te Necesito']
Los Tucanes De Tijuana,"['El Amor Soñado', 'Mis Tres Viejas', 'El Águila Blanca']"
"Ludacris, Shawnna","[""What's Your Fantasy (Featuring Shawna)""]"
Lukas Graham,['7 Years']
Luke Bryan,"['Rain Is A Good Thing', 'Country Girl (Shake It For Me)', 'Kiss Tomorrow Goodbye', ""I Don't Want This Night To End"", 'Play It Again', ""That's My Kind Of Night""]"
Luke Combs,"['When It Rains It Pours', 'Hurricane', 'Beautiful Crazy', 'She Got the Best of Me', 'Beer Never Broke My Heart', 'Forever After All', 'The Kind of Love We Make']"
M.I.A.,['Paper Planes']
M83,['Midnight City']
MF DOOM,"['Rapp Snitch Knishes feat. Mr. Fantastik', 'One Beer', 'Hoe Cakes']"
MGMT,"['Electric Feel', 'Kids', 'Time to Pretend']"
MKTO,['Classic']
Mac DeMarco,"['My Kind of Woman', 'Freaking Out the Neighborhood', 'Chamber Of Reflection', 'For the First Time', 'Heart To Heart']"
Mac Miller,"['The Spins', 'Small Worlds', 'Self Care']"
"Mac Miller, Bilal",['Congratulations (feat. Bilal)']
"Mac Miller, Miguel",['Weekend (feat. Miguel)']
"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton","[""Can't Hold Us (feat. Ray Dalton)"", ""Can't Hold Us (feat. Ray Dalton)""]"
"Madvillain, Madlib, MF DOOM",['All Caps']
"Major Lazer, MØ, DJ Snake",['Lean On']
Manu Chao,['Me Gustas Tu']
Mariah Carey,"['We Belong Together', 'Obsessed']"
Mario,"['Let Me Love You', 'Let Me Love You']"
"Mark Ronson, Amy Winehouse",['Valerie (feat. Amy Winehouse) - Version Revisited']
"Mark Ronson, Bruno Mars",['Uptown Funk (feat. Bruno Mars)']
Maroon 5,"['This Love', 'She Will Be Loved - Radio Mix', 'Sunday Morning', 'Maps', 'Sugar']"
"Maroon 5, Christina Aguilera","['Moves Like Jagger - Studio Recording From ""The Voice"" Performance']"
"Marshmello, Jonas Brothers",['Leave Before You Love Me (with Jonas Brothers)']
Mary J. Blige,['Family Affair']
Matt Nathanson,['Come On Get Higher']
Meek Mill,['Dreams and Nightmares']
"Meek Mill, Drake",['Going Bad (feat. Drake)']
Men I Trust,['Show Me How']
MercyMe,['I Can Only Imagine']
"Metro Boomin, 21 Savage",['10 Freaky Girls (with 21 Savage)']
"Metro Boomin, Future, Chris Brown",['Superhero (Heroes & Villains) [with Future & Chris Brown]']
"Metro Boomin, Future, Don Toliver",['Too Many Nights (feat. Don Toliver & with Future)']
"Metro Boomin, Gunna",['Space Cadet (feat. Gunna)']
"Metro Boomin, The Weeknd, 21 Savage","[""Creepin' (with The Weeknd & 21 Savage)""]"
"Metro Boomin, Travis Scott, Young Thug",['Trance (with Travis Scott & Young Thug)']
Michael Jackson,"['Billie Jean', 'Chicago']"
Miguel,"['Sure Thing', 'Girl With The Tattoo Enter.lewd']"
"Miguel, J. Cole",['All I Want Is You (feat. J. Cole)']
"Mike Posner, Gigamesh",['Cooler Than Me - Single Mix']
Miley Cyrus,"['Party In The U.S.A.', 'The Climb', ""We Can't Stop"", 'Wrecking Ball', 'Angels Like You']"
Milky Chance,['Stolen Dance']
Miranda Lambert,['Gunpowder & Lead']
Mitski,"['First Love/Late Spring', 'Francis Forever', 'Washing Machine Heart']"
Modest Mouse,['Float On']
Modjo,['Lady - Hear Me Tonight']
Morgan Wallen,"['Spin You Around', 'Whiskey Glasses', ""Chasin' You"", 'The Way I Talk', 'Wasted On You', 'More Than My Hometown', '7 Summers', 'Cover Me Up', 'Sand In My Boots', 'This Bar']"
Mother Mother,"['Verbatim', 'Hayloft']"
Mr.Kitty,['After Dark']
Mt. Joy,['Silver Lining']
Mudvayne,['Happy?']
Mumford & Sons,"['Little Lion Man', 'The Cave']"
Muse,['Supermassive Black Hole']
"Mustard, Roddy Ricch","[""Ballin' (with Roddy Ricch)""]"
My Chemical Romance,"[""I'm Not Okay (I Promise)"", 'Helena', 'Teenagers', 'Welcome to the Black Parade']"
NBSPLV,['The Lost Soul Down']
Natasha Bedingfield,"['Unwritten', 'Pocketful of Sunshine']"
Ne-Yo,"['So Sick', 'Because Of You', 'Miss Independent']"
Nelly,"['Country Grammar (Hot Shit)', 'Hot In Herre']"
Nelly Furtado,"[""I'm Like A Bird"", 'Maneater', 'Say It Right']"
"Nelly Furtado, Timbaland",['Promiscuous']
"Nelly, City Spud",['Ride Wit Me']
"Nelly, Kelly Rowland",['Dilemma']
Neon Trees,"['Animal', 'Everybody Talks']"
New West,['Those Eyes']
Nickelback,"['How You Remind Me', 'Someday', 'Rockstar', 'Animals', 'Burn It to the Ground']"
Nicki Minaj,"['Super Bass', 'Starships']"
Nine Days,['Absolutely (Story of a Girl) - Radio Mix']
Nirvana,['About A Girl']
Noah Cyrus,['July']
Noah Kahan,['Stick Season']
Norah Jones,"[""Don't Know Why""]"
Of Monsters and Men,['Little Talks']
"Offset, Metro Boomin",['Ric Flair Drip (with Metro Boomin)']
Old Dominion,['One Man Band']
Olivia Rodrigo,"['deja vu', 'good 4 u', 'traitor', 'drivers license', 'favorite crime', 'jealousy, jealousy', 'brutal', 'happier']"
One Direction,"['What Makes You Beautiful', 'Story of My Life', 'Night Changes']"
OneRepublic,"['Apologize', 'Secrets', 'Counting Stars', 'Counting Stars', ""I Ain't Worried""]"
Outkast,"['Ms. Jackson', 'So Fresh, So Clean', 'Hey Ya!', 'Roses']"
"Outkast, Sleepy Brown",['The Way You Move (feat. Sleepy Brown)']
Owl City,['Fireflies']
Ozzy Osbourne,['Crazy Train']
P!nk,"['Who Knew', 'So What', 'Raise Your Glass']"
"P!nk, Nate Ruess",['Just Give Me a Reason (feat. Nate Ruess)']
PARTYNEXTDOOR,"['Break from Toronto', 'Belong to the City', 'Her Way']"
Panic! At The Disco,['I Write Sins Not Tragedies']
Papa Roach,"['Last Resort', 'Scars']"
"Paperboy Fabe, Brent Faiyaz",['Language']
Paramore,"['Misery Business', ""That's What You Get"", 'crushcrushcrush', 'Decode', 'All I Wanted', 'The Only Exception', 'Still into You', ""Ain't It Fun""]"
Passenger,['Let Her Go']
Patrick Watson,['Je te laisserai des mots']
Peso Pluma,['Por las Noches']
Peter Bjorn and John,['Young Folks']
Petey Pablo,['Freek-A-Leek']
Phoenix,['1901']
"Pierce The Veil, Kellin Quinn",['King For A Day']
Pinegrove,['Need 2']
PinkPantheress,['Pain']
Pitbull,['Hotel Room Service']
"Pitbull, Kesha",['Timber (feat. Ke$ha)']
"Pitbull, Ne-Yo",['Time of Our Lives']
"Pitbull, Ne-Yo, AFROJACK, Nayer","['Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)']"
"Pitbull, T-Pain",['Hey Baby (Drop It to the Floor) (feat. T-Pain)']
Plain White T's,['Hey There Delilah']
Plan B,"['Guatauba', 'Es un Secreto']"
Playboi Carti,"['Location', 'Magnolia', 'Sky']"
"Playboi Carti, Lil Uzi Vert",['Shoota (feat. Lil Uzi Vert)']
Polo G,"['Martin & Gina', 'RAPSTAR']"
"Polo G, Stunna 4 Vegas, NLE Choppa, Mike WiLL Made-It",['Go Stupid']
Pop Smoke,['What You Know Bout Love']
Post Malone,"['I Fall Apart', 'White Iverson', 'Go Flex', 'Better Now', 'Circles', 'Wow.']"
"Post Malone, 21 Savage",['rockstar (feat. 21 Savage)']
"Post Malone, Doja Cat",['I Like You (A Happier Song) (with Doja Cat)']
"Post Malone, Quavo",['Congratulations']
