id,picture,artist,hottest,streams_b,followers_mio,listeners_mio,scoring
1,,Taylor Swift,100,57.92,86.48,100.97,233
2,,Drake,95,62.93,79.86,75.33,205
3,,Bad Bunny,94,57.97,74.24,74.80,189
4,,The Weeknd,94,47.62,71.64,106.92,186
5,,Ed Sheeran,87,44.57,115.09,75.72,166
6,,Ariana Grande,87,38.21,93.83,66.34,141
7,,Justin Bieber,88,38.17,74.29,73.24,139
8,,Eminem,88,37.52,76.68,63.69,134
9,,Billie Eilish,88,29.33,86.41,71.08,125
10,,Post Malone,89,35.26,42.11,63.26,113
11,,Rihanna,88,26.27,57.90,76.33,109
12,,BTS,87,35.48,69.61,32.76,106
13,,Coldplay,86,27.66,47.28,65.80,99
14,,Dua Lipa,86,26.95,41.60,75.69,98
15,,Imagine Dragons,86,26.63,50.33,59.21,96
16,,Bruno Mars,87,22.53,51.05,65.81,93
17,,Travis Scott,93,26.03,24.19,65.08,91
18,,J Balvin,84,31.34,37.93,51.61,91
19,,Kanye West,89,31.80,21.32,58.18,89
20,,David Guetta,87,24.41,26.65,70.04,83
21,,Ozuna,86,25.23,38.10,45.36,82
22,,Maroon 5,83,23.49,41.53,57.16,81
23,,KAROL G,90,17.45,39.62,56.63,78
24,,XXXTENTACION,84,25.63,43.08,35.90,77
25,,Adele,84,17.97,51.41,52.17,74
26,,Daddy Yankee,85,20.25,33.91,53.19,73
27,,Queen,83,19.67,48.40,47.39,73
28,,Lana Del Rey,90,18.44,27.92,56.61,73
29,,Juice WRLD,86,27.40,30.68,29.61,72
30,,Beyoncé,85,19.75,35.97,50.41,72
31,,Shawn Mendes,81,21.86,42.51,44.26,71
32,,Kendrick Lamar,87,22.40,25.39,47.23,71
33,,Selena Gomez,83,16.83,45.23,56.14,70
34,,Nicki Minaj,86,18.18,29.57,61.08,70
35,,Harry Styles,85,19.01,29.37,58.85,70
36,,Calvin Harris,84,21.27,23.64,64.43,70
37,,Shakira,86,16.64,31.42,63.44,69
38,,Sam Smith,83,21.28,23.14,55.88,66
39,,Doja Cat,87,15.13,26.31,68.26,65
40,,Lady Gaga,83,18.61,27.96,52.45,64
41,,Arijit Singh,89,9.35,89.51,39.62,63
42,,Khalid,83,23.94,16.15,51.51,63
43,,Marshmello,82,15.61,35.33,57.10,62
44,,Olivia Rodrigo,90,12.49,28.07,61.87,62
45,,One Direction,82,18.79,33.24,38.33,61
46,,Future,88,18.96,14.86,51.34,60
47,,Anuel AA,86,17.38,32.40,32.94,60
48,,Chris Brown,85,18.41,20.55,47.19,59
49,,Miley Cyrus,85,14.47,22.15,71.34,59
50,,J. Cole,85,18.35,21.40,40.71,58
51,,Katy Perry,82,15.43,29.39,51.39,58
52,,Rauw Alejandro,87,17.32,18.50,45.78,58
53,,Maluma,83,15.64,34.56,38.93,57
54,,Sia,82,15.97,26.98,46.47,56
55,,Arctic Monkeys,85,15.73,21.55,46.75,55
56,,SZA,88,14.05,14.73,62.93,54
57,,21 Savage,89,13.47,14.84,56.25,52
58,,Linkin Park,83,16.18,24.47,34.38,52
59,,The Beatles,82,16.64,26.19,29.97,51
60,,Halsey,80,16.24,20.94,42.65,50
61,,The Chainsmokers,79,17.26,20.45,37.58,49
62,,Lil Uzi Vert,85,16.05,15.88,34.32,48
63,,Camila Cabello,78,13.91,31.58,38.72,48
64,,BLACKPINK,83,10.77,45.52,24.48,45
65,,Michael Jackson,80,11.99,28.79,36.62,45
66,,Avicii,79,14.43,23.25,36.09,45
67,,Myke Towers,87,11.93,12.55,46.82,44
68,,OneRepublic,81,12.92,16.27,46.79,44
69,,Alan Walker,80,10.46,39.44,31.16,43
70,,Lil Baby,86,12.65,15.31,30.06,42
71,,Farruko,82,13.48,15.55,37.48,42
72,,Red Hot Chili Peppers,81,13.32,20.20,30.17,42
73,,Twenty One Pilots,78,14.64,24.07,25.82,42
74,,Charlie Puth,81,10.24,21.32,40.90,40
75,,Demi Lovato,78,11.72,26.12,32.25,40
76,,Metro Boomin,87,13.41,5.60,51.62,39
77,,Pritam,86,8.52,20.46,35.04,38
